Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2023-03-10,88,85.62,88,85,67.94,0
2023-03-10,88,85.62,88,85,75.81,-4.46
2023-03-09,91.4,89.62,91.4,89.6,37,-1.62
2023-03-08,91,91.1,91.3,89.8,31.79,0.49
2023-03-07,91.1,90.66,92.1,90.4,76.03,-0.48
2023-03-06,89.1,91.1,91.1,89.1,93.83,2.73
2023-03-03,87.9,88.68,88.74,86.4,110.72,-1.14
2023-03-01,90.36,89.7,91,89.2,87.18,0.02
2023-02-28,88.5,89.68,91.12,87.68,83.17,1.65
2023-02-27,89.14,88.22,89.14,87.44,35.45,0.09
2023-02-24,87.88,88.14,89.12,87.4,69.51,0.92
2023-02-23,86.38,87.34,88.34,86.32,72.66,1.06
2023-02-22,88.34,86.42,88.34,85.9,79.64,-2.17
2023-02-21,89.9,88.34,89.98,86.72,75.56,-2
2023-02-20,92.06,90.14,92.18,89.2,86.16,-2.13
2023-02-17,94.5,92.1,94.5,92.1,64.19,-3.22
2023-02-16,94,95.16,95.2,91.04,116.08,1.39
2023-02-15,92.96,93.86,94.36,92.66,37.81,0.21
2023-02-14,93,93.66,94.18,92.34,80.61,1.04
2023-02-13,92.86,92.7,93.26,91.74,45.2,0.94
2023-02-10,94.12,91.84,94.12,91.7,108.52,-2.46
2023-02-09,93,94.16,95.44,92.64,92.62,1.86
2023-02-08,91.98,92.44,93.04,91.4,52.32,1.36
2023-02-07,91.68,91.2,92.38,90.48,60.68,0.22
2023-02-06,92.94,91,93.08,90.28,78.2,-2.57
2023-02-03,91.9,93.4,94.44,91.6,121.63,1.15
2023-02-02,92.3,92.34,92.62,90.62,119.71,1.63
2023-02-01,92.2,90.86,92.36,90.4,61.4,-1.45
2023-01-31,90,92.2,92.28,89.38,122.54,2.31
2023-01-30,91.4,90.12,91.4,89.58,42.89,-1.49
2023-01-27,93,91.48,93.2,91.48,56.27,-1.12
2023-01-26,93,92.52,93.12,90.7,74.51,0.67
2023-01-25,94.94,91.9,94.94,90.4,229.37,-4.67
2023-01-24,97.5,96.4,97.5,95.5,52.52,-0.31
2023-01-23,96.1,96.7,97,95.1,168.96,1.36
2023-01-20,96,95.4,96,94.22,114.67,0.21
2023-01-19,94.48,95.2,96.06,94.08,138.26,-0.73
2023-01-18,97.5,95.9,97.7,94.88,210.47,-1.92
2023-01-17,102,97.78,102.25,97.64,147.91,-3.95
2023-01-16,101,101.8,103.6,99.9,108.06,0.79
2023-01-13,101.8,101,101.8,98.9,78.84,-0.35
2023-01-12,99.08,101.35,102.45,98.52,131.63,2.42
2023-01-11,100,98.96,101.3,98.18,155.7,-0.84
2023-01-10,98,99.8,100.2,96.5,82.26,1.36
2023-01-09,95.84,98.46,98.56,95.3,100.61,4.21
2023-01-05,93.68,94.48,95.66,92.22,169.17,1.07
2023-01-04,90.9,93.48,93.66,90.5,61.77,2.84
2023-01-03,87,90.9,91.68,86.6,129.8,5.06
2023-01-02,87,86.52,87.9,86.52,14.92,0.02
2022-12-30,85.62,86.5,87,85.6,21.55,-1.03
2022-12-29,85.3,87.4,87.54,85.08,20.87,2.03
2022-12-28,85,85.66,85.9,84.24,24.12,0.94
2022-12-27,86,84.86,86.26,84.44,13.59,-0.98
2022-12-23,86.98,85.7,86.98,85.3,24.36,-1.36
2022-12-22,87,86.88,87.8,86.04,35.52,-0.09
2022-12-21,85.82,86.96,86.96,84.6,55.55,1.59
2022-12-20,82.84,85.6,85.9,82.78,35.2,2.1
2022-12-19,83.5,83.84,84.5,82.86,35.97,-0.05
2022-12-16,83.52,83.88,84.42,82.7,127.01,-0.29
2022-12-15,85.96,84.12,86.06,83.4,59.14,-1.91
2022-12-14,85.5,85.76,86.68,84.92,49.45,0.14
2022-12-13,85.1,85.64,87.02,84.04,74.35,1.3
2022-12-12,82.66,84.54,85.1,81.7,34.82,2.3
2022-12-09,82.5,82.64,83.24,81.9,43.07,0.19
2022-12-08,83.5,82.48,83.5,81.64,27.85,-1.27
2022-12-07,83.02,83.54,83.78,82.86,23.93,0.63
2022-12-06,85,83.02,85,82.72,39.21,-2.76
2022-12-05,84.92,85.38,86.32,84.92,31.55,1.04
2022-12-02,86,84.5,86,83.62,71.49,-1.49
2022-12-01,86.08,85.78,86.6,84.84,70.25,2.24
2022-11-30,84.5,83.9,85.14,82.9,124.03,0.02
2022-11-29,85.1,83.88,85.22,82.8,48.37,-0.94
2022-11-28,85.8,84.68,86.64,84.52,73.88,-1.26
2022-11-25,85.76,85.76,85.76,85.76,0,0
2022-11-24,84.6,85.76,86.12,84.26,37.94,2.39
2022-11-23,84.02,83.76,84.64,83.38,36.53,-0.29
2022-11-22,83,84,84.66,82.26,36.56,0.77
2022-11-21,84.88,83.36,84.88,82.84,54.81,-0.53
2022-11-18,83.34,83.8,84.86,82,79.27,0.55
2022-11-17,86.5,83.34,86.5,81.9,96.28,-3.09
2022-11-16,86,86,87.24,83.2,170.62,-2.16
2022-11-15,86,87.9,88.3,85,87.46,2.33
2022-11-14,82.1,85.9,86.78,82.06,93.83,4.73
2022-11-10,80,82.02,83,78.54,80.51,2.47
2022-11-09,79.7,80.04,80.8,79.36,83.13,0.45
2022-11-08,79.42,79.68,80.26,78.26,67.33,0.38
2022-11-07,76.24,79.38,81.06,76.16,114.82,4.7
2022-11-04,77.58,75.82,77.68,75.74,108.78,-1.66
2022-11-03,76.5,77.1,78.32,76.42,68.27,-2.97
2022-11-02,78.5,79.46,79.58,77.54,94.09,1.3
2022-10-31,77,78.44,78.74,76.76,63.09,1.87
2022-10-28,75.78,77,77.7,74.44,60.39,1.18
2022-10-27,74.5,76.1,76.16,73.7,54.06,1.98
2022-10-26,73.5,74.62,74.62,73.1,66.11,2.14
2022-10-25,73.6,73.06,73.9,71.92,77.95,-0.05
2022-10-24,72.8,73.1,73.7,71.9,53.05,1.53
2022-10-21,72,72,73.9,71.18,87.19,-0.88
2022-10-20,70.5,72.64,72.9,70.02,86,3.48
2022-10-19,72.1,70.2,73.04,69.8,119.25,-2.64
2022-10-18,69.46,72.1,72.28,69,120.55,5.81
2022-10-17,67.34,68.14,68.7,66.58,43.83,1.19
2022-10-14,66.96,67.34,68.44,66.38,75.41,3.38
2022-10-13,66.7,65.14,66.7,63,112.07,-1.3
2022-10-12,65.74,66,66.76,64.2,80,1.54
2022-10-11,63.36,65,66.48,62.3,89.65,2.72
2022-10-10,63.46,63.28,64.2,62.8,73.2,-0.94
2022-10-07,62.7,63.88,64.16,62.22,98.64,1.88
2022-10-06,62.4,62.7,63.5,61.88,81.62,1.95
2022-10-05,63.98,61.5,63.98,61.24,33.35,-3.45
2022-10-04,61.3,63.7,63.82,61,37.69,6.1
2022-10-03,60.6,60.04,60.74,58.42,60.07,-1.09
2022-09-30,61.18,60.7,61.88,60.12,77.43,-0.78
2022-09-29,64,61.18,64,60.72,53.38,-3.07
2022-09-28,63.1,63.12,63.52,61.28,79.64,-2.2
2022-09-27,65,64.54,65.9,63.8,52.01,0.84
2022-09-26,64.3,64,65,62.66,68.21,-1.08
2022-09-23,66.5,64.7,66.72,64.24,43.79,-3.58
2022-09-22,65.54,67.1,67.7,64.64,34.74,0.84
2022-09-21,67,66.54,67.7,66.2,35.11,-1.63
2022-09-20,70.9,67.64,71.34,67.26,47.93,-3.04
2022-09-19,68.2,69.76,69.8,67.64,44.37,2.29
2022-09-16,70,68.2,70.78,67.14,164.75,-3.94
2022-09-15,71,71,72.02,70.2,58.37,1.02
2022-09-14,68.28,70.28,70.76,68.04,79.84,0.4
2022-09-13,72.66,70,72.8,69.04,79.89,-3.26
2022-09-12,69.9,72.36,72.38,68.66,90.71,5.51
2022-09-09,65.5,68.58,68.68,65.24,92.33,6.42
2022-09-08,63.7,64.44,65.3,63.12,96.98,2.61
2022-09-07,62,62.8,63.14,61.1,124.38,1.16
2022-09-06,62.3,62.08,62.78,61.44,107.95,-0.58
2022-09-05,61.66,62.44,62.76,60.3,109.6,-0.1
2022-09-02,62.46,62.5,62.82,61.36,105.7,1.66
2022-09-01,65,61.48,65,61.48,88.96,-5.71
2022-08-31,66,65.2,66.58,64.04,162.32,-0.4
2022-08-30,66.38,65.46,67.5,65.12,43.45,-0.88
2022-08-29,66,66.04,66.42,64.98,44.9,-1.64
2022-08-26,69.72,67.14,69.76,66.5,38.73,-3.4
